Title,Genre,Duration,Rating,Voting
À toute allure,Romance,1h 26m,5.3,156
Unn Sawali,Romance,N/A,7.9,11
Reversi,Romance,2h 15m,8.4,97
"LSD 2: Love, Sex Aur Dhokha 2",Romance,1h 59m,3.8,2.8K
Gelin Takimi,Romance,1h 49m,2.4,1.7K
Meeting Ms. Leigh,Romance,1h 57m,9.2,75
Christmas Overtime,Romance,1h 32m,5.2,20
Romance with My Vampire Brother,Romance,N/A,7.4,10
Parahuna 2,Romance,1h 55m,6.7,80
36-24-36,Romance,1h 58m,6.1,203
Komandir,Romance,2h 11m,6.3,512
Gili Gili Raat,Romance,1h 33m,5.7,12
Noche De Bodas,Romance,1h 30m,4.6,222
Khwaabon Ka Jhamela,Romance,1h 53m,6.1,104
I Don't Know,Romance,1h 38m,N/A,N/A
"Dao, Pho Va Piano",Romance,1h 40m,5.9,186
Double Blended,Romance,1h 27m,5.5,51
Christmas at Plumhill Manor,Romance,1h 27m,6.1,496
Éden & Charlie,Romance,45m,8.3,8
Seré breve al momento de morir,Romance,1h 18m,5.7,13
Swoon,Romance,1h 23m,6.1,12
Teasing Master Takagi-san Movie,Romance,1h 59m,6.7,274
Silent Love,Romance,1h 56m,6.3,333
Christmas on the Ranch,Romance,1h 26m,6.1,136
A Christmas Dream,Romance,1h 34m,4.5,47
My Sassy Girl,Romance,1h 57m,5,108
¿Vienes o Voy?,Romance,1h 34m,6.7,14
Reloaded 2,Romance,45m,8.1,996
Addy Daddy,Romance,1h 58m,8,24
Ondu Sarala Prema Kathe,Romance,2h 29m,7.5,711
Because I Love Bad Weather,Romance,1h 40m,6.3,128
Funmilayo Ransome-Kuti,Romance,1h 31m,8.5,93
Goreyan Naal Lagdi Zameen Jatt Di,Romance,1h 48m,7.7,27
Sevmek Yüzünden,Romance,1h 44m,3.6,611
A Fragile Flower,Romance,1h 36m,8.5,1.6K
We Are Faheem & Karun,Romance,1h 21m,9.4,46
Listy do M. Pozegnania i powroty,Romance,2h 3m,6,306
Mi Perfecto Ex,Romance,1h 23m,7.4,19
Murphy,Romance,2h 16m,7.3,2.4K
How to Make Her Leave,Romance,N/A,N/A,N/A
Sunlight,Romance,1h 36m,7.8,16
Shooting My Life's Script,Romance,1h 35m,6.2,333
Amar Prem Ki Prem Kahani,Romance,1h 57m,4.4,628
Welcome to My Side,Romance,1h 42m,7.1,80
Uang Panai' 2 Maha(r)l,Romance,1h 46m,7.7,40
Nikdo me nemá rád,Romance,1h 24m,5.8,36
To potami,Romance,1h 33m,6.3,10
Momma's Boy,Romance,1h 45m,3.8,46
Movie Given Hiiragi Mix.,Romance,1h 10m,7.4,130
Buk Poketer Golpo,Romance,1h 35m,7.9,205
Teriyaan Meriyaan Hera Pheriyan,Romance,2h 5m,6.7,75
Hold Me Close,Romance,1h 38m,6.6,9
"Chances Are, You and I",Romance,2h 12m,6.1,104
Rajkumar,Romance,2h 25m,7.3,2.6K
Meeting Funmi's Parents,Romance,N/A,8.6,15
Kuch Sapney Apne,Romance,2h,8,47
Mr and Mrs Bachelor,Romance,N/A,N/A,N/A
Powder Pup,Romance,1h 29m,6.2,73
Young Lion of the West,Romance,1h 33m,8.1,105
Kacher Manush Dure Thuiya,Romance,2h 24m,7.9,1.1K
Hong lou meng,Romance,2h,3.5,18
3. Gun,Romance,N/A,3.9,127
Rador Pakhi (Morning Sunshine),Romance,2h 9m,N/A,N/A
Sign Here,Romance,1h 40m,6.2,242
Aaram Aravinda Swamy,Romance,2h 12m,9.3,326
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,Romance,2h 18m,5.9,82
Nikoga ne e prosto seks,Romance,N/A,4.8,49
"Love, Wine & Salt: A Tuscan Romance",Romance,N/A,7.1,15
"Step Back, Doors Closing",Romance,1h 38m,9.2,36
Buzzy Noise,Romance,1h 59m,6,47
Gebokste Liefde,Romance,N/A,N/A,N/A
Rabb Da Radio 3,Romance,2h 2m,6.8,6
Kajolrekha,Romance,2h 36m,6.3,169
Artist Unknown,Romance,1h 22m,9.1,10
A Heart for Christmas,Romance,1h 31m,7.5,99
Skinny Love,Romance,1h 32m,8.3,83
Ibbani Tabbida Ileyali,Romance,2h 40m,7.4,828
Shesh Rokkha,Romance,1h 49m,5,16
The Architecture of Love,Romance,1h 50m,6.9,469
Moments We Shared,Romance,2h 11m,5.4,118
Marriage Mansion,Romance,N/A,9.1,22
40,Romance,1h 43m,4.8,18
Coven of the Black Cube,Romance,1h 37m,8.3,18
Lady Outlaw,Romance,1h 44m,6.8,16
The Gifts of Christmas,Romance,N/A,5.9,17
Gingersnap Christmas,Romance,N/A,4.8,25
Bed & Breakfast,Romance,1h 23m,6.2,199
"Sampai Nanti, Hanna!",Romance,1h 50m,7.3,261
Haunted Happy Hour,Romance,1h 29m,7.9,12
Pon Ondru Kanden,Romance,2h,5.7,264
Sihina Nelum Mal,Romance,1h 45m,8,29
Usha Parinayam,Romance,2h 24m,9,2.1K
All's Fair in Love,Romance,1h 55m,6.3,16
DeAr,Romance,2h 12m,5.1,1.3K
Pretty Boys,Romance,1h 7m,5.4,33
A Teacher's Gift,Romance,N/A,N/A,N/A
¿Quién quiere casarse con un Astronauta?,Romance,1h 34m,8.4,8
Assisting Venus,Romance,1h 40m,6.2,27
A Soweto Love Story,Romance,1h 41m,4.4,281
Stranded Pearl,Romance,1h 30m,6,26
Maybe Forever,Romance,N/A,7.9,30
Oshana,Romance,2h 29m,5.8,791
My Zombabe,Romance,1h 45m,5.1,77
Lost & Found You,Romance,N/A,6.9,15
Eating Me Up,Romance,1h 44m,8.6,289
Advent,Romance,1h 59m,7.5,6
Our Christmas House,Romance,1h 17m,5.4,44
Once Upon A Love Story,Romance,2h 15m,7.6,76
Vidya Vasula Aham,Romance,1h 42m,6.5,91
My Crazy Rich Girlfriend,Romance,N/A,N/A,N/A
Once Upon a Honeymoon,Romance,1h 49m,6.8,21
Lyubov zla,Romance,1h 23m,6.2,395
Our Church Thinks We're Dating,Romance,1h 42m,7.5,59
Neath's Love Story,Romance,1h 46m,7.7,49
The Little Things,Romance,1h 30m,7.7,39
Lyod 3,Romance,2h 14m,6,292
SottoCoperta,Romance,1h 36m,7.6,74
Cinta Tak Seindah Drama Korea,Romance,1h 58m,7.2,45
A Christmas of Wonders,Romance,1h 26m,4.8,120
10 Pasimatymu,Romance,1h 39m,6.3,21
Dhaaak,Romance,2h 8m,8.6,24
The Number,Romance,1h 32m,N/A,N/A
