Title,Genre,Duration,Rating,Voting
Here After,Thriller,1h 33m,4.1,1.3K
Peter Five Eight,Thriller,1h 40m,3.5,1.1K
Life After Fighting,Thriller,2h 6m,6.4,1.9K
Continental Split,Thriller,1h 28m,3.5,531
Hidden Face,Thriller,1h 55m,6.1,460
Shark Girl,Thriller,1h 22m,2.6,133
Barron's Cove,Thriller,1h 56m,8,28
Chime,Thriller,45m,6.4,2.2K
Out Come the Wolves,Thriller,1h 26m,4.7,1.4K
The Paradise of Thorns,Thriller,2h 11m,7.7,1.1K
Cinderella's Revenge,Thriller,1h 25m,3.7,1.1K
Trapped Inn,Thriller,1h 55m,2.8,877
Crescent City,Thriller,1h 43m,3.9,1.3K
1978,Thriller,1h 16m,5.5,151
Zero,Thriller,1h 28m,6.1,37
Angels Fallen: Warriors of Peace,Thriller,1h 43m,4.9,5.8K
Cinderella's Curse,Thriller,1h 22m,3.3,1.3K
Latency,Thriller,1h 34m,4.2,1.7K
Freelance,Thriller,1h 50m,4.8,299
Hisaab Barabar,Thriller,1h 52m,5.7,1.6K
Rippy,Thriller,1h 23m,4.1,811
A Mistake,Thriller,1h 41m,5.5,717
McVeigh,Thriller,1h 30m,6.8,62
Parallel,Thriller,1h 28m,5.3,1.9K
Echo 8,Thriller,1h 36m,5.5,155
CTRL,Thriller,1h 39m,6.2,5.9K
5lbs of Pressure,Thriller,1h 51m,5.3,1.5K
Black Cab,Thriller,1h 28m,4.2,1.6K
Are You There?,Thriller,1h 28m,7.1,38
Milk & Serial,Thriller,1h 2m,6.6,2.4K
The American Backyard,Thriller,1h 47m,6.2,120
Ferry 2,Thriller,1h 34m,5.6,3.7K
Stolen,Thriller,1h 45m,5.7,2.2K
Operation Blood Hunt,Thriller,1h 33m,3.4,452
Freedom,Thriller,1h 50m,5.9,1.3K
Decoded,Thriller,2h 36m,5.8,406
The Sabarmati Report,Thriller,2h 7m,6.4,24K
Dead Talents Society,Thriller,1h 45m,7.4,784
DarkGame,Thriller,1h 40m,4.6,2.8K
Sugar Baby,Thriller,1h 28m,4.5,189
Ulajh,Thriller,2h 30m,6,24K
Hijack 1971,Thriller,1h 40m,6.8,3.2K
Lazareth,Thriller,1h 26m,4.4,897
Bosco,Thriller,1h 39m,5.6,3.9K
Queen of Bones,Thriller,1h 30m,7.2,58
Alien: Rubicon,Thriller,1h 26m,2.4,327
King Ivory,Thriller,2h 10m,7.2,60
Shadow Land,Thriller,1h 29m,3.6,445
#AMFAD: All My Friends Are Dead,Thriller,1h 31m,4.5,1.2K
Wynonna Earp: Vengeance,Thriller,1h 36m,5.6,1.5K
Jigra,Thriller,2h 33m,6,23K
The Clean Up Crew,Thriller,1h 35m,4.1,1.1K
American Star,Thriller,1h 47m,5.5,2.4K
The Hangman,Thriller,1h 32m,3.3,983
Gaami,Thriller,2h 27m,6.4,2K
Spirit in the Blood,Thriller,1h 38m,4.7,356
Goldilocks and the Three Bears: Death and Porridge,Thriller,1h 23m,2.4,1.4K
Race for Glory: Audi vs. Lancia,Thriller,1h 49m,5.8,4.6K
Sunrise,Thriller,1h 33m,3.8,978
Compulsion,Thriller,1h 34m,N/A,N/A
Bloodline Killer,Thriller,1h 45m,3.8,4.4K
Guns & Moses,Thriller,1h 34m,8.2,38
Invasion,Thriller,1h 31m,4.8,662
Boundless,Thriller,2h 1m,5.6,1.8K
The Diary,Thriller,1h 22m,4.9,876
Steal Her Breath,Thriller,1h 50m,6,60
Savi,Thriller,2h 6m,6.2,35K
You Shall Not Sleep Tonight,Thriller,1h 17m,4.1,328
Grave Torture,Thriller,1h 57m,6.2,2.7K
Shoutai,Thriller,2h,6.8,458
Beezel,Thriller,1h 21m,4.8,1.2K
Restless,Thriller,1h 29m,7,66
The Monster Beneath Us,Thriller,1h 43m,5.9,402
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Thriller,1h 44m,7.1,8.2K
The Smile Man,Thriller,2h 2m,7.7,1.5K
1 Million Followers,Thriller,1h 41m,4.8,650
Electra,Thriller,1h 25m,7.3,23
The Good Teacher,Thriller,1h 31m,6.6,1.8K
Escape,Thriller,1h 34m,6.4,1.9K
Blame the Game,Thriller,1h 32m,5.4,4.9K
Three Kilometres to the End of the World,Thriller,1h 45m,7,828
Death Down the Aisle,Thriller,1h 30m,5.2,136
Held Hostage in My House,Thriller,1h 30m,5.2,117
Salve Maria,Thriller,1h 51m,6.5,424
Model House,Thriller,1h 25m,4,1.1K
Murder at Hollow Creek,Thriller,N/A,4.2,77
Perewangan,Thriller,1h 49m,6.1,88
Beyond the Rush,Thriller,1h 34m,8.2,373
The Greatest of All Time,Thriller,3h 3m,5.8,22K
Out of Control,Thriller,1h 51m,6,92
To a Land Unknown,Thriller,1h 45m,7.3,422
Bystanders,Thriller,1h 22m,3.8,254
72 Hours,Thriller,1h 27m,4.1,279
Footage,Thriller,2h 4m,6.3,2.4K
He Ain't Heavy,Thriller,1h 42m,6,348
Rakshana,Thriller,2h 19m,5.6,1.1K
The Cut,Thriller,1h 39m,7,93
Steppenwolf,Thriller,1h 42m,6.5,236
Heart of the Hunter,Thriller,1h 45m,4.7,2.1K
