Title,Genre,Duration,Rating,Voting
Wishes of the Blue Girl,Mystery,1h 13m,4.4,370
Welcome to the Game,Mystery,1h 30m,5.8,61
Lipstick on the Glass,Mystery,1h 56m,4.6,12
The Apocalypse Box,Mystery,1h 26m,3.3,237
Dark Deceptions,Mystery,1h 22m,6.4,35
Not Your Average Family,Mystery,1h 37m,5.7,103
Sam and Colby: The Legends of the Paranormal,Mystery,1h 38m,4.8,303
Soch - A perception,Mystery,N/A,8.2,38
Crime by Design,Mystery,N/A,N/A,N/A
Gossip to Die For,Mystery,1h 34m,5.3,80
LOTUS,Mystery,1h 57m,7.9,8
A Girl Upstairs,Mystery,1h 30m,6.6,45
Chapter 51,Mystery,N/A,N/A,N/A
Black.White.Red.,Mystery,1h 33m,7.8,24
Flashlight,Mystery,1h 17m,4.2,11
Nico,Mystery,1h 49m,8.3,43
Zateryannye,Mystery,1h 30m,5.9,192
PinkCity: A Psychedelic Meditation,Mystery,1h 35m,N/A,N/A
Beneath the Bad,Mystery,N/A,N/A,N/A
The Secret of Pin-Up Island,Mystery,1h 47m,7.4,92
Kuchinai sakura,Mystery,1h 59m,6.5,48
Teddiscare,Mystery,1h 22m,2.1,157
The Ugly,Mystery,N/A,N/A,N/A
The Washer,Mystery,1h 30m,7.5,9
Room 0,Mystery,1h 42m,3.1,207
Meitantei Conan Bâsasu Kaitô Kiddo,Mystery,1h 21m,6.2,151
The Fall of 2008,Mystery,1h 1m,N/A,N/A
Maid to Kill,Mystery,1h 31m,N/A,N/A
We Are Tourists,Mystery,1h 37m,N/A,N/A
Hidden Memories,Mystery,1h 24m,5.9,30
Scarlet Blue,Mystery,1h 46m,5.9,15
Apatiya,Mystery,N/A,6.9,44
Four Nights in Fear Forest,Mystery,N/A,N/A,N/A
Wicked Season,Mystery,N/A,5.4,34
I Married as the Replacement Bride,Mystery,N/A,7.3,30
Clasat,Mystery,1h 31m,8.5,37
Kaljiga,Mystery,1h 54m,8.3,36
Thy Will Be Done,Mystery,1h 38m,N/A,N/A
The Hole Story,Mystery,1h 27m,N/A,N/A
Dr. Jason II - Lights & Shadows,Mystery,1h 2m,5.4,274
Scopophobia,Mystery,1h 40m,6,42
Foreclosure 2,Mystery,1h 17m,3.5,97
Haunting Trophies,Mystery,2h 30m,7.7,65
DreadClub: Vampire's Verdict,Mystery,N/A,5.3,54
Los capítulos perdidos,Mystery,1h 8m,7.3,12
The Twelve Step Strangler,Mystery,N/A,N/A,N/A
Tilottoma,Mystery,1h 38m,8.4,22
The Women in the Lakes,Mystery,2h 21m,4.9,25
Shadows of Betrayal: Chronicles of Ian Blair,Mystery,1h 5m,7.3,12
Nature Cat's Nature Movie Special Extraordinaire,Mystery,N/A,7.2,17
The Legend of the Vagabond Queen of Lagos,Mystery,1h 40m,8.2,25
Dream Lock,Mystery,1h 40m,8.6,21
Di Renjie: Tongtian xuan an,Mystery,1h 25m,7.2,15
Winner,Mystery,1h 8m,5.3,26
Husna,Mystery,2h 30m,N/A,N/A
The Mermaid,Mystery,1h 45m,N/A,N/A
Cora,Mystery,N/A,6.4,19
This Land of Mine,Mystery,1h 30m,8,5
Viral,Mystery,1h 2m,N/A,N/A
Birthmark,Mystery,1h 57m,4.5,193
Who Killed Terrance Brown?,Mystery,N/A,N/A,N/A
Ictus: Paciente Cero,Mystery,N/A,N/A,N/A
Real Life Fiction,Mystery,1h 35m,5,10
Ruki vverkh!,Mystery,1h 42m,5.5,240
#Models Wanted,Mystery,N/A,8.8,32
10/31 Part 4,Mystery,1h 27m,5.6,17
Blue Christmas,Mystery,1h 19m,5.8,18
Danyang Mahar Tukar Nyawa,Mystery,1h 50m,6.5,7
L.I.F.E.,Mystery,1h 48m,4.1,30
A Question of Guilt,Mystery,N/A,6.4,20
The Mystery of Humanoid Puppet,Mystery,1h 28m,6.7,60
King Saud,Mystery,1h 40m,8.4,12
The Journalist,Mystery,N/A,N/A,N/A
Treasures of Terror Vol 1,Mystery,N/A,4.4,17
Unknown Caller,Mystery,1h 3m,5.4,17
Fanum: Ombre dal passato,Mystery,N/A,N/A,N/A
Dirty Thirty,Mystery,1h 36m,N/A,N/A
Fidan,Mystery,N/A,7.6,59
American Dirge,Mystery,1h 21m,N/A,N/A
Bo Nan Za,Mystery,1h 1m,9.1,27
The Stranger,Mystery,1h 40m,7.2,8
Nayan Rahasya,Mystery,1h 54m,4.8,167
Una historia y ya...,Mystery,1h 27m,3.9,38
Last Party,Mystery,N/A,N/A,N/A
"Rapunzel, El Perro y El Brujo",Mystery,1h 49m,7.8,21
Miss PJ,Mystery,1h 55m,5.3,65
The Land of Morning Calm,Mystery,1h 53m,6.1,19
That person has disappeared,Mystery,N/A,6.2,14
Midnight Taxi,Mystery,N/A,7.5,33
Idealnaya zhertva,Mystery,1h 32m,7,7
Inquietus,Mystery,N/A,N/A,N/A
Dank Frank,Mystery,1h 21m,N/A,N/A
Real Estate Sisters,Mystery,1h 24m,4.8,16
Perfumed with Mint,Mystery,1h 51m,6.2,22
Shri Swapankumarer Badami Hyenar Kobole,Mystery,2h 26m,5.6,322
The Spoils,Mystery,N/A,8.6,118
Muroi Shinji: Yaburezaru Mono,Mystery,1h 55m,7.7,7
Grimmwood,Mystery,N/A,6.3,7
Dindin,Mystery,1h 16m,N/A,N/A
Dead Dead Full Dead,Mystery,1h 50m,6.6,14
Nasibpura,Mystery,N/A,6.5,6
Swakaryam Sambhavabahulam,Mystery,1h 56m,6.3,183
Dharma Daiva,Mystery,1h 52m,7.7,24
When Autumn Comes,Mystery,1h 21m,N/A,N/A
The Answer to All Questions,Mystery,N/A,7,13
Duplicitous Minds,Mystery,N/A,N/A,N/A
Gunfighter Paradise,Mystery,N/A,8.7,16
Astrid's Saints,Mystery,N/A,7.2,10
Who Killed Angel Adams?,Mystery,1h 16m,6.2,22
Jin Qian Bao Lei,Mystery,N/A,3.4,12
Inti Number 13,Mystery,2h 7m,8,1.1K
Tears of Blood,Mystery,N/A,9.7,6
Durga,Mystery,2h 14m,8.5,168
