Title,Genre,Duration,Rating,Voting
Doraemon the Movie: Nobita's Earth Symphony,Comedy,1h 55m,6.6,1.4K
Ultraman: Rising,Comedy,1h 57m,6.9,6.2K
Wallbanger,Comedy,1h 58m,5.6,634
Carved,Comedy,1h 35m,4.4,2.7K
200% Wolf,Comedy,1h 38m,6,1.2K
Alter weißer Mann,Comedy,1h 54m,6.2,554
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,Comedy,1h 42m,8.3,61
Sister Midnight,Comedy,1h 47m,6.5,178
Peter Five Eight,Comedy,1h 40m,3.5,1.1K
Five Blind Dates,Comedy,1h 23m,5.1,1.9K
The Second Act,Comedy,1h 20m,6.4,3.2K
À bicyclette!,Comedy,1h 30m,7,108
Die Hart 2: Die Harter,Comedy,1h 32m,4.3,5.4K
The Astronaut Lovers,Comedy,1h 56m,7.1,542
The Supremes at Earl's All-You-Can-Eat,Comedy,2h 4m,6.4,1.4K
Christmas Eve in Miller's Point,Comedy,1h 46m,5.6,2.3K
Not Another Church Movie,Comedy,1h 30m,2.2,1.1K
Woody Woodpecker Goes to Camp,Comedy,1h 40m,4.5,2.5K
Zero,Comedy,1h 28m,6.1,37
Young Werther,Comedy,1h 41m,5.7,196
Inheritance,Comedy,1h 34m,5.1,3.4K
Christmas Cowboy,Comedy,N/A,6.7,94
Hisaab Barabar,Comedy,1h 52m,5.7,1.6K
The Trainer,Comedy,1h 35m,7.2,51
Krazy House,Comedy,1h 29m,4.8,1.4K
The Deb,Comedy,2h 1m,7.6,67
Four Mothers,Comedy,1h 29m,7.7,78
Lost & Found in Cleveland,Comedy,N/A,8.5,17
Dan Da Dan: First Encounter,Comedy,1h 23m,8.2,2.5K
Three Friends,Comedy,1h 57m,6.6,568
A Trip Elsewhere,Comedy,1h 33m,5.5,90
Plan B,Comedy,1h 30m,5.9,1.1K
French Girl,Comedy,1h 46m,5.5,2.3K
Heavier Trip,Comedy,1h 36m,6,1.2K
Peacock,Comedy,1h 42m,7.2,272
Dead Talents Society,Comedy,1h 45m,7.4,784
How Could I Live Without You?,Comedy,1h 45m,6.9,900
The Real Bros of Simi Valley: The Movie,Comedy,1h 46m,7.1,1K
Crew,Comedy,1h 58m,5.8,37K
A Legend,Comedy,2h 9m,4.7,852
Operation Taco Gary's,Comedy,1h 28m,6.5,26
Running on Empty,Comedy,1h 31m,4.9,518
Mars,Comedy,1h 24m,8.9,19
Manamey,Comedy,2h 35m,5.6,486
And Mrs,Comedy,1h 51m,5.8,670
Diamanti,Comedy,2h 15m,7,958
Slay,Comedy,1h 39m,6.5,1.1K
Buffalo Kids,Comedy,1h 33m,6.6,621
My Melbourne,Comedy,1h 40m,7.5,32
Vicky Vidya Ka Woh Wala Video,Comedy,2h 32m,5.2,11K
Narayaneente Moonnaanmakkal,Comedy,1h 48m,7,540
My Annoying Brother,Comedy,1h 54m,7.5,166
Paying for It,Comedy,1h 25m,7.6,84
Time Travel Is Dangerous,Comedy,1h 39m,5.9,74
The Other Way Around,Comedy,1h 54m,6.5,1.3K
Shrek 5: The Contract - A Fan Made Film,Comedy,1h 24m,7,18
Little Death,Comedy,1h 50m,5.5,197
Monster on a Plane,Comedy,1h 28m,5.6,2.3K
Blame the Game,Comedy,1h 32m,5.4,4.9K
Half Baked: Totally High,Comedy,1h 37m,4.6,337
Haikyu!! The Dumpster Battle,Comedy,1h 25m,7.7,6K
Her Story,Comedy,2h 3m,7.7,1.7K
Lesson Learned,Comedy,1h 59m,7.7,1.9K
Sallywood,Comedy,N/A,7.8,54
Murder at Hollow Creek,Comedy,N/A,4.2,77
Harry Potter and the Stone,Comedy,2h 32m,8,155
The Present,Comedy,1h 26m,5.5,843
Der Buchspazierer,Comedy,1h 38m,7.3,343
London Calling,Comedy,1h 49m,6.5,8
Feeling Randy,Comedy,1h 21m,7.8,457
Mr. Manhattan,Comedy,1h 50m,6.7,430
Rap World,Comedy,56m,7.8,473
Prom Dates,Comedy,1h 26m,5.2,1.6K
Memory Lane,Comedy,1h 38m,7.4,1.7K
Mittran Da Challeya Truck Ni,Comedy,2h 11m,8.3,684
Two to One,Comedy,1h 56m,6,670
Cassino in Ischia,Comedy,1h 53m,4.4,229
Lubber Pandhu,Comedy,2h 26m,8.2,5.8K
Chantal in Fairyland,Comedy,1h 58m,4.6,2.5K
Arthur's Whisky,Comedy,1h 34m,4.5,793
Handsome Guys,Comedy,1h 41m,6.5,735
Cocorico,Comedy,1h 32m,5.8,3.1K
Sew Torn,Comedy,1h 40m,6.7,188
A Gangster's Kiss,Comedy,1h 21m,4.9,45
Teri Baaton Mein Aisa Uljha Jiya,Comedy,2h 21m,6.2,54K
Frankie Freako,Comedy,1h 25m,5.6,1K
Música,Comedy,1h 31m,6.4,4.9K
Ryan's World the Movie: Titan Universe Adventure,Comedy,1h 20m,1.8,629
Still Fabulous,Comedy,1h 32m,4.9,835
The Christmas Letter,Comedy,1h 34m,4.1,175
Nice Girls,Comedy,1h 32m,4.2,1.2K
Girl Meets Boy,Comedy,1h 39m,4.6,52
Good Bad Things,Comedy,1h 36m,5.8,186
The Groomsmen: First Look,Comedy,1h 22m,6.1,373
How to Make a Killing,Comedy,1h 49m,6.6,671
Don't Mess with Grandma,Comedy,1h 21m,6.1,141
Cheerleaders Behaving Badly,Comedy,2h,7.9,8
Everybody Loves Jenifa,Comedy,2h 15m,8.4,77
Sahbek Rajel,Comedy,2h 25m,9.1,41
Lesbian Space Princess,Comedy,1h 27m,8,94
Man and Witch: The Dance of a Thousand Steps,Comedy,1h 34m,5.5,322
Stealing Pulp Fiction,Comedy,1h 18m,6.3,18
"Love, Divided",Comedy,1h 38m,5.9,4.5K
Layla,Comedy,1h 40m,6.4,283
Do Aur Do Pyaar,Comedy,2h 20m,6.4,12K
Gracie and Pedro: Pets to the Rescue,Comedy,1h 27m,5.1,253
And the Breadwinner Is...,Comedy,2h 3m,6.8,241
Bau: Artist at War,Comedy,2h 10m,7,51
Griffin in Summer,Comedy,1h 30m,7.2,147
The Stress Is Killing Me,Comedy,N/A,N/A,N/A
A.R.M,Comedy,2h 30m,7.1,8.5K
Mukadderat,Comedy,1h 30m,7.3,475
Bermondsey Tales: Fall of the Roman Empire,Comedy,1h 39m,4.4,173
The Art of Nothing,Comedy,1h 30m,5.2,89
Memes & Nightmares,Comedy,1h 21m,5.7,71
